Sample,X(ms) [07.06.2012 20:53:07 090 UTC],"CycleTimeMeasurement.CycleTimeInfo"
195,1339102379668.396000,12506000
196,1339102379681.251304,12896000
197,1339102379694.176848,12395000
198,1339102379708.839920,12406000
199,1339102379723.976624,12792000
200,1339102379736.839448,12767000
201,1339102379749.575920,12433000
202,1339102379762.433176,12284000
203,1339102379775.214216,12352000
204,1339102379788.048472,12325000
205,1339102379802.978928,12366000
206,1339102379815.913624,12666000
207,1339102379828.865456,12441000
208,1339102379841.632304,12472000
209,1339102379854.518880,12340000
210,1339102379867.250296,12388000
211,1339102379882.439288,12272000
212,1339102379895.415248,12878000
213,1339102379908.264008,12484000
214,1339102379921.127736,12378000
215,1339102379935.962824,12375000
216,1339102379949.176984,12695000
217,1339102379962.063160,12600000
218,1339102379974.865648,12376000
219,1339102379987.615592,12329000
220,1339102380000.520752,12295000
221,1339102380015.448488,12390000
222,1339102380028.530488,12688000
223,1339102380042.791320,12524000
224,1339102380056.381968,12634000
225,1339102380069.203320,12734000
226,1339102380084.250344,12384000
227,1339102380097.153000,12721000
228,1339102380109.949632,12429000
229,1339102380122.718320,12316000
230,1339102380137.146912,12292000
231,1339102380150.759936,12599000
232,1339102380163.635040,12666000
233,1339102380177.257232,12410000
234,1339102380190.192696,12440000
235,1339102380203.111192,12451000
236,1339102380218.179256,12344000
237,1339102380231.143560,12818000
238,1339102380244.065808,12465000
239,1339102380256.850800,12409000
240,1339102380269.567424,12327000
241,1339102380282.418192,12288000
242,1339102380297.303232,12351000
243,1339102380310.222040,12593000
244,1339102380323.064120,12421000
245,1339102380335.934232,12334000
246,1339102380349.105464,12387000
247,1339102380364.614912,12322000
248,1339102380378.759088,12856000
249,1339102380391.623216,12825000
250,1339102380404.576952,12419000
251,1339102380419.346896,12438000
252,1339102380432.337168,12538000
253,1339102380445.170024,12443000
254,1339102380458.049320,12355000
255,1339102380470.776488,12378000
256,1339102380485.976496,12285000
257,1339102380498.898776,12863000
258,1339102380511.665720,12449000
259,1339102380524.545680,12343000
260,1339102380539.210480,12352000
261,1339102380552.471080,12601000
262,1339102380565.234368,12566000
263,1339102380578.080720,12328000
264,1339102380590.786232,12347000
265,1339102380605.795080,12268000
266,1339102380618.769624,12751000
267,1339102380631.607736,12417000
268,1339102380644.450072,12377000
269,1339102380657.715040,12325000
270,1339102380673.074672,12352000
271,1339102380687.347184,13012000
272,1339102380700.322264,12747000
273,1339102380713.089800,12421000
274,1339102380728.146328,12336000
275,1339102380741.027112,12727000
276,1339102380753.919944,12428000
277,1339102380766.704984,12378000
278,1339102380780.318976,12356000
279,1339102380794.776880,12425000
280,1339102380807.631080,12808000
281,1339102380820.460560,12416000
282,1339102380833.251048,12320000
283,1339102380848.121048,12339000
284,1339102380861.042528,12567000
285,1339102380873.777976,12446000
286,1339102380886.583648,12259000
287,1339102380899.368392,12322000
288,1339102380914.264792,12325000
289,1339102380927.270896,12604000
290,1339102380940.115216,12466000
291,1339102380952.978608,12371000
292,1339102380966.546768,12356000
293,1339102380981.817616,12423000
294,1339102380996.039104,12846000
295,1339102381008.846920,12804000
296,1339102381021.718752,12370000
297,1339102381036.713344,12390000
298,1339102381049.551592,12789000
299,1339102381062.466120,12393000
300,1339102381076.195200,12402000
301,1339102381089.624656,12547000
302,1339102381104.473616,12569000
303,1339102381117.319112,12917000
304,1339102381130.225312,12407000
305,1339102381142.951416,12368000
306,1339102381157.787456,12298000
307,1339102381171.010608,12724000
308,1339102381183.809296,12536000
309,1339102381196.834664,12378000
310,1339102381209.591400,12444000
311,1339102381222.503416,12304000
312,1339102381237.330760,12368000
313,1339102381250.289880,12616000
314,1339102381263.042808,12467000
315,1339102381275.811344,12298000
316,1339102381288.610488,12326000
317,1339102381301.389168,12305000
318,1339102381317.739336,12303000
319,1339102381330.755040,12815000
320,1339102381343.554480,12429000
321,1339102381356.423832,12372000
322,1339102381370.080416,12364000
323,1339102381384.570168,12511000
324,1339102381397.527192,12891000
325,1339102381410.368840,12473000
326,1339102381423.120008,12372000
327,1339102381435.954768,12267000
328,1339102381450.826792,12347000
329,1339102381464.024432,12786000
330,1339102381476.893368,12511000
331,1339102381489.687064,12389000
332,1339102381502.546480,12346000
333,1339102381517.409776,12349000
334,1339102381530.441064,12643000
335,1339102381543.218632,12485000
336,1339102381556.082536,12334000
337,1339102381569.466416,12359000
338,1339102381583.975352,12337000
339,1339102381596.911296,12766000
340,1339102381609.682640,12462000
341,1339102381622.559768,12342000
342,1339102381637.417552,12353000
343,1339102381652.067384,12579000
344,1339102381664.927664,12778000
345,1339102381677.694464,12413000
346,1339102381690.498488,12311000
347,1339102381703.294888,12332000
348,1339102381718.397360,12297000
349,1339102381731.297176,12842000
350,1339102381744.178824,12421000
351,1339102381756.913928,12398000
352,1339102381769.617408,12259000
353,1339102381782.447440,12259000
354,1339102381797.448584,12326000
355,1339102381810.327312,12767000
356,1339102381823.087680,12392000
357,1339102381835.953560,12273000
358,1339102381848.608936,12369000
359,1339102381861.331248,12224000
360,1339102381876.382768,12270000
361,1339102381889.282656,12762000
362,1339102381902.166704,12464000
363,1339102381914.879424,12364000
364,1339102381927.794432,12297000
365,1339102381942.024736,12405000
366,1339102381957.352952,12536000
367,1339102381971.513688,13030000
368,1339102381984.417976,12664000
369,1339102381997.264848,12413000
370,1339102382012.455224,12347000
371,1339102382025.441640,12899000
372,1339102382038.272632,12494000
373,1339102382051.041712,12352000
374,1339102382065.531784,12313000
375,1339102382079.111288,12667000
376,1339102382091.954184,12623000
377,1339102382104.728056,12349000
378,1339102382117.458800,12284000
379,1339102382132.745568,12310000
380,1339102382145.614400,12764000
381,1339102382158.496776,12413000
382,1339102382171.223296,12374000
383,1339102382185.059288,12276000
384,1339102382199.411200,12487000
385,1339102382212.328824,12819000
386,1339102382225.415912,12398000
387,1339102382238.352480,12418000
388,1339102382253.209776,12432000
389,1339102382266.160448,12577000
390,1339102382280.707304,12460000
391,1339102382293.658128,12625000
392,1339102382307.512512,12463000
393,1339102382321.735608,12475000
394,1339102382334.638488,12753000
395,1339102382347.386792,12420000
396,1339102382360.184128,12320000
397,1339102382372.967056,12298000
398,1339102382387.115384,12327000
399,1339102382401.144464,12569000
400,1339102382414.067376,12829000
401,1339102382426.928128,12439000
402,1339102382439.666528,12380000
403,1339102382454.722528,12290000
404,1339102382467.575568,12749000
405,1339102382480.432576,12394000
406,1339102382493.138728,12342000
407,1339102382506.066240,12285000
408,1339102382521.241760,12404000
409,1339102382534.274760,12893000
410,1339102382547.026240,12509000
411,1339102382559.795384,12309000
412,1339102382574.033920,12314000
413,1339102382589.128808,12539000
414,1339102382602.713744,12832000
415,1339102382615.504024,12689000
416,1339102382628.440688,12362000
417,1339102382643.235096,12398000
418,1339102382656.192616,12572000
419,1339102382668.929944,12406000
420,1339102382681.718880,12310000
421,1339102382694.616064,12332000
422,1339102382707.362520,12359000
423,1339102382722.696584,12327000
424,1339102382735.535872,12994000
425,1339102382748.336736,12406000
426,1339102382761.080224,12324000
427,1339102382773.826632,12281000
428,1339102382787.336680,12300000
429,1339102382801.935456,12337000
430,1339102382814.824440,12885000
431,1339102382827.649192,12458000
432,1339102382840.487352,12349000
433,1339102382855.354176,12358000
434,1339102382869.129776,12656000
435,1339102382882.098496,12578000
436,1339102382894.899176,12439000
437,1339102382907.665960,12330000
438,1339102382924.265152,12337000
439,1339102382937.135232,12830000
440,1339102382949.991480,12405000
441,1339102382962.769024,12318000
442,1339102382975.523112,12313000
443,1339102382988.839584,12287000
444,1339102383003.498928,12387000
445,1339102383016.424408,12764000
446,1339102383029.286872,12441000
447,1339102383042.065608,12377000
448,1339102383057.095120,12307000
449,1339102383070.211376,12760000
450,1339102383083.074312,12575000
451,1339102383095.968104,12404000
452,1339102383108.640464,12356000
453,1339102383121.462856,12226000
454,1339102383136.471584,12343000
455,1339102383149.367640,12712000
456,1339102383162.232040,12453000
457,1339102383175.059144,12356000
458,1339102383188.567720,12377000
459,1339102383203.058528,12371000
460,1339102383216.001152,12737000
461,1339102383228.927248,12442000
462,1339102383243.545672,12438000
463,1339102383258.674600,12692000
464,1339102383271.599880,12670000
465,1339102383284.431400,12450000
466,1339102383297.251144,12355000
467,1339102383310.304624,12351000
468,1339102383325.272848,12353000
469,1339102383338.226472,12788000
470,1339102383350.961360,12467000
