Sample,X(ms) [11.04.2025 12:55:28 843 UTC],"CycleTimeMeasurement.CycleTimeInfo"
4,1744376119148.997848,12803000
5,1744376119166.670024,13132000
6,1744376119180.123032,13306000
7,1744376119193.302888,12661000
8,1744376119206.310144,12692000
9,1744376119219.362104,12528000
10,1744376119232.998816,12537000
11,1744376119247.963184,12662000
12,1744376119261.950224,13121000
13,1744376119275.172408,12790000
14,1744376119288.106672,12664000
15,1744376119303.414384,12475000
16,1744376119316.502672,13006000
17,1744376119329.611128,12634000
18,1744376119342.518872,12592000
19,1744376119355.590432,12487000
20,1744376119371.003992,12565000
21,1744376119387.318880,13103000
22,1744376119400.556216,13115000
23,1744376119413.635480,12712000
24,1744376119428.718376,12593000
25,1744376119441.825552,12784000
26,1744376119454.884696,12584000
27,1744376119467.835840,12532000
28,1744376119481.637712,12483000
29,1744376119496.221744,12623000
30,1744376119509.429824,12904000
31,1744376119524.428056,12683000
32,1744376119537.563160,12974000
33,1744376119552.876824,12636000
34,1744376119565.987560,13026000
35,1744376119579.100040,12626000
36,1744376119592.022136,12601000
37,1744376119606.364912,12500000
38,1744376119620.507784,12688000
39,1744376119633.635552,12929000
40,1744376119646.646624,12605000
41,1744376119659.755512,12557000
42,1744376119675.030312,12593000
43,1744376119688.117704,12970000
44,1744376119701.285720,12634000
45,1744376119714.276880,12601000
46,1744376119727.285672,12553000
47,1744376119740.196048,12449000
48,1744376119755.436264,12485000
49,1744376119768.498632,12849000
50,1744376119781.547688,12588000
51,1744376119794.477776,12541000
52,1744376119807.509344,12504000
53,1744376119820.517888,12510000
54,1744376119835.782400,12544000
55,1744376119848.918240,12980000
56,1744376119861.831024,12608000
57,1744376119874.933672,12481000
58,1744376119889.932640,12577000
59,1744376119903.578976,12935000
60,1744376119916.598176,12900000
61,1744376119929.617120,12585000
62,1744376119942.502072,12504000
63,1744376119959.131112,12458000
64,1744376119972.492104,13148000
65,1744376119985.740128,12760000
66,1744376119998.854384,12687000
67,1744376120011.763848,12571000
68,1744376120024.694968,12455000
69,1744376120039.965296,12468000
70,1744376120053.174688,12931000
71,1744376120066.196880,12685000
72,1744376120079.300600,12536000
73,1744376120094.061288,12587000
74,1744376120107.670024,12709000
75,1744376120120.690984,12853000
76,1744376120133.750928,12546000
77,1744376120146.663112,12544000
78,1744376120160.527072,12460000
79,1744376120175.846136,12693000
80,1744376120190.540208,12943000
81,1744376120208.020544,12889000
82,1744376120226.070360,13120000
83,1744376120243.556736,13423000
84,1744376120261.495056,13081000
85,1744376120278.998344,13345000
86,1744376120296.998928,13145000
87,1744376120314.444032,13426000
88,1744376120332.475264,13138000
89,1744376120349.926744,13426000
90,1744376120367.948656,13138000
91,1744376120385.339288,13448000
92,1744376120403.233512,13061000
93,1744376120420.890920,13318000
94,1744376120438.908064,13193000
95,1744376120456.165104,13415000
96,1744376120473.643592,13018000
97,1744376120491.133496,13175000
98,1744376120509.249832,13101000
99,1744376120526.637032,13481000
100,1744376120544.587568,13113000
101,1744376120561.995696,13348000
102,1744376120579.958176,13076000
103,1744376120597.445808,13396000
104,1744376120615.413776,13092000
105,1744376120632.940352,13386000
106,1744376120650.924128,13164000
107,1744376120668.301016,13392000
108,1744376120686.043480,13080000
109,1744376120703.894184,13297000
