meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
120,1744277135365,120,120,0,0.009912490844726562
121,1744277135585,121,121,0,0.01694035530090332
122,1744277135812,122,122,0,0.009724617004394531
123,1744277136032,123,123,0,0.010251760482788086
124,1744277136253,124,124,0,0.009158611297607422
125,1744277136472,125,125,0,0.024644136428833008
126,1744277136710,126,126,0,0.009233474731445312
127,1744277136928,127,127,0,0.00904989242553711
128,1744277137147,128,128,0,0.017333507537841797
129,1744277137374,129,129,0,0.009849786758422852
130,1744277137595,130,130,0,0.010128021240234375
131,1744277137816,131,131,0,0.009075641632080078
132,1744277138035,132,132,0,0.008943796157836914
133,1744277138254,133,133,0,0.009258508682250977
134,1744277138474,134,134,0,0.009249210357666016
135,1744277138693,135,135,0,0.009082317352294922
136,1744277138912,136,136,0,0.009151220321655273
137,1744277139131,137,137,0,0.009091377258300781
138,1744277139350,138,138,0,0.015301227569580078
139,1744277139574,139,139,0,0.009113550186157227
140,1744277139794,140,140,0,0.00887441635131836
141,1744277140012,141,141,0,0.016120433807373047
142,1744277140238,142,142,0,0.009954452514648438
143,1744277140459,143,143,0,0.013485908508300781
144,1744277140681,144,144,0,0.009107112884521484
145,1744277140901,145,145,0,0.009373903274536133
146,1744277141120,146,146,0,0.009171247482299805
147,1744277141347,147,147,0,0.009153604507446289
148,1744277141566,148,148,0,0.01127171516418457
149,1744277141794,149,149,0,0.009342670440673828
150,1744277142014,150,150,0,0.015777587890625
151,1744277142239,151,151,0,0.011839628219604492
152,1744277142467,152,152,0,0.009900331497192383
153,1744277142688,153,153,0,0.00998377799987793
154,1744277142907,154,154,0,0.009145498275756836
155,1744277143127,155,155,0,0.009427547454833984
156,1744277143346,156,156,0,0.01561880111694336
157,1744277143572,157,157,0,0.009197473526000977
158,1744277143791,158,158,0,0.01016998291015625
159,1744277144010,159,159,0,0.01798105239868164
160,1744277144237,160,160,0,0.008890628814697266
161,1744277144456,161,161,0,0.009171247482299805
162,1744277144690,162,162,0,0.013911962509155273
