meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744376128082,1,1,0,0.04570293426513672
2,1744376128276,2,2,0,0.0457308292388916
3,1744376128457,3,3,0,0.04352831840515137
4,1744376128643,4,4,0,0.03881216049194336
5,1744376128824,5,5,0,0.03556346893310547
6,1744376129007,6,6,0,0.03644561767578125
7,1744376129189,7,7,0,0.04882168769836426
8,1744376129378,8,8,0,0.03735017776489258
9,1744376129558,9,9,0,0.03652787208557129
10,1744376129734,10,10,0,0.03646111488342285
11,1744376129909,11,11,0,0.048664093017578125
12,1744376130102,12,12,0,0.0365297794342041
13,1744376130285,13,13,0,0.0354008674621582
14,1744376130464,14,14,0,0.04362845420837402
15,1744376130653,15,15,0,0.04161787033081055
16,1744376130832,16,16,0,0.043656110763549805
17,1744376131014,17,17,0,0.04647660255432129
18,1744376131195,18,18,0,0.04670381546020508
19,1744376131376,19,19,0,0.03884720802307129
20,1744376131561,20,20,0,0.037497758865356445
21,1744376131743,21,21,0,0.03564810752868652
22,1744376131923,22,22,0,0.03650021553039551
23,1744376132102,23,23,0,0.0356144905090332
24,1744376132278,24,24,0,0.03962540626525879
25,1744376132465,25,25,0,0.04160785675048828
26,1744376132643,26,26,0,0.04168343544006348
27,1744376132819,27,27,0,0.04258847236633301
28,1744376132999,28,28,0,0.043614864349365234
29,1744376133181,29,29,0,0.04055595397949219
30,1744376133366,30,30,0,0.04570198059082031
31,1744376133548,31,31,0,0.05398058891296387
32,1744376133739,32,32,0,0.03952169418334961
33,1744376133921,33,33,0,0.040752410888671875
34,1744376134104,34,34,0,0.04257798194885254
35,1744376134283,35,35,0,0.04580855369567871
36,1744376134464,36,36,0,0.04155540466308594
37,1744376134648,37,37,0,0.03855562210083008
38,1744376134828,38,38,0,0.045731306076049805
39,1744376135013,39,39,0,0.037569284439086914
40,1744376135194,40,40,0,0.03568077087402344
41,1744376135375,41,41,0,0.03648543357849121
42,1744376135554,42,42,0,0.03657937049865723
43,1744376135735,43,43,0,0.039580345153808594
44,1744376135924,44,44,0,0.04567432403564453
45,1744376136105,45,45,0,0.04665970802307129
46,1744376136291,46,46,0,0.03643941879272461
47,1744376136475,47,47,0,0.038606882095336914
48,1744376136657,48,48,0,0.04048466682434082
49,1744376136844,49,49,0,0.03730177879333496
50,1744376137029,50,50,0,0.04458212852478027
51,1744376137214,51,51,0,0.03665566444396973
52,1744376137392,52,52,0,0.03958559036254883
53,1744376137572,53,53,0,0.03628253936767578
54,1744376137752,54,54,0,0.03657889366149902
55,1744376137929,55,55,0,0.05164170265197754
56,1744376138120,56,56,0,0.03656721115112305
57,1744376138294,57,57,0,0.035645484924316406
58,1744376138470,58,58,0,0.03650665283203125
59,1744376138648,59,59,0,0.036713600158691406
60,1744376138825,60,60,0,0.04359698295593262
61,1744376139009,61,61,0,0.0365450382232666
62,1744376139186,62,62,0,0.041434526443481445
63,1744376139368,63,63,0,0.043786048889160156
64,1744376139549,64,64,0,0.039769887924194336
65,1744376139726,65,65,0,0.04254794120788574
66,1744376139906,66,66,0,0.03770279884338379
67,1744376140089,67,67,0,0.035562753677368164
68,1744376140266,68,68,0,0.03646206855773926
69,1744376140446,69,69,0,0.03665566444396973
70,1744376140627,70,70,0,0.041486263275146484
71,1744376140808,71,71,0,0.043474435806274414
72,1744376140990,72,72,0,0.04167532920837402
73,1744376141164,73,73,0,0.0488581657409668
74,1744376141352,74,74,0,0.03622579574584961
75,1744376141523,75,75,0,0.03964591026306152
76,1744376141705,76,76,0,0.03963828086853027
77,1744376141888,77,77,0,0.03963589668273926
78,1744376142060,78,78,0,0.040776968002319336
79,1744376142237,79,79,0,0.04455161094665527
80,1744376142419,80,80,0,0.043730735778808594
81,1744376142596,81,81,0,0.04979062080383301
82,1744376142784,82,82,0,0.05061817169189453
83,1744376142968,83,83,0,0.04278731346130371
84,1744376143151,84,84,0,0.04574751853942871
85,1744376143333,85,85,0,0.04143810272216797
86,1744376143514,86,86,0,0.049928903579711914
87,1744376143702,87,87,0,0.04361367225646973
88,1744376143884,88,88,0,0.04152822494506836
89,1744376144064,89,89,0,0.03852057456970215
90,1744376144244,90,90,0,0.04144740104675293
91,1744376144425,91,91,0,0.04149937629699707
92,1744376144607,92,92,0,0.04779982566833496
93,1744376144787,93,93,0,0.04664754867553711
94,1744376144966,94,94,0,0.04245948791503906
95,1744376145157,95,95,0,0.03938460350036621
96,1744376145338,96,96,0,0.03654646873474121
97,1744376145519,97,97,0,0.043463706970214844
98,1744376145707,98,98,0,0.03854846954345703
99,1744376145887,99,99,0,0.044345855712890625
100,1744376146081,100,100,0,0.04343056678771973
101,1744376146265,101,101,0,0.03953075408935547
102,1744376146447,102,102,0,0.04073524475097656
103,1744376146632,103,103,0,0.03655576705932617
104,1744376146813,104,104,0,0.04660749435424805
105,1744376147002,105,105,0,0.03656506538391113
106,1744376147184,106,106,0,0.03651928901672363
107,1744376147359,107,107,0,0.03959822654724121
108,1744376147552,108,108,0,0.03733372688293457
109,1744376147732,109,109,0,0.04153776168823242
110,1744376147913,110,110,0,0.043837547302246094
111,1744376148095,111,111,0,0.04568195343017578
112,1744376148279,112,112,0,0.04984736442565918
113,1744376148471,113,113,0,0.04260611534118652
114,1744376148653,114,114,0,0.038454294204711914
115,1744376148834,115,115,0,0.04166531562805176
116,1744376149015,116,116,0,0.038450002670288086
117,1744376149197,117,117,0,0.04373764991760254
118,1744376149388,118,118,0,0.03647804260253906
119,1744376149570,119,119,0,0.03656601905822754
120,1744376149751,120,120,0,0.036628007888793945
121,1744376149931,121,121,0,0.0366358757019043
122,1744376150108,122,122,0,0.03648257255554199
123,1744376150283,123,123,0,0.039783477783203125
124,1744376150466,124,124,0,0.04248523712158203
125,1744376150649,125,125,0,0.05161929130554199
126,1744376150835,126,126,0,0.04130387306213379
127,1744376151009,127,127,0,0.039534568786621094
128,1744376151187,128,128,0,0.046610355377197266
129,1744376151373,129,129,0,0.04772377014160156
130,1744376151554,130,130,0,0.04563641548156738
131,1744376151735,131,131,0,0.04658675193786621
132,1744376151916,132,132,0,0.044535160064697266
133,1744376152099,133,133,0,0.05089211463928223
134,1744376152287,134,134,0,0.04142427444458008
135,1744376152470,135,135,0,0.03668808937072754
136,1744376152651,136,136,0,0.03658914566040039
137,1744376152835,137,137,0,0.03640270233154297
138,1744376153016,138,138,0,0.03633379936218262
139,1744376153197,139,139,0,0.036498069763183594
140,1744376153381,140,140,0,0.036302804946899414
141,1744376153557,141,141,0,0.04477572441101074
142,1744376153748,142,142,0,0.03643798828125
143,1744376153932,143,143,0,0.0363314151763916
144,1744376154113,144,144,0,0.04143691062927246
145,1744376154302,145,145,0,0.0365748405456543
146,1744376154484,146,146,0,0.036528825759887695
147,1744376154666,147,147,0,0.03545880317687988
148,1744376154848,148,148,0,0.03656482696533203
149,1744376155029,149,149,0,0.03853178024291992
150,1744376155212,150,150,0,0.03653717041015625
