meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744372231987,1,1,0,0.13227200508117676
2,1744372232322,2,2,0,0.09340143203735352
3,1744372232575,3,3,0,0.0921931266784668
4,1744372232845,4,4,0,0.10075235366821289
5,1744372233115,5,5,0,0.14295649528503418
6,1744372233413,6,6,0,0.07183504104614258
7,1744372233664,7,7,0,0.10680508613586426
8,1744372233928,8,8,0,0.10690689086914062
9,1744372234200,9,9,0,0.10741615295410156
10,1744372234467,10,10,0,0.09421133995056152
11,1744372234736,11,11,0,0.10297346115112305
12,1744372234991,12,12,0,0.09940052032470703
13,1744372235258,13,13,0,0.09733057022094727
14,1744372235521,14,14,0,0.1002511978149414
15,1744372235784,15,15,0,0.10974240303039551
16,1744372236060,16,16,0,0.10287308692932129
17,1744372236317,17,17,0,0.13957905769348145
18,1744372236610,18,18,0,0.09883332252502441
19,1744372236868,19,19,0,0.10789060592651367
20,1744372237145,20,20,0,0.07191610336303711
21,1744372237382,21,21,0,0.13768386840820312
22,1744372237674,22,22,0,0.0961451530456543
23,1744372237940,23,23,0,0.07357454299926758
24,1744372238178,24,24,0,0.10704398155212402
25,1744372238444,25,25,0,0.12940192222595215
26,1744372238737,26,26,0,0.10112500190734863
27,1744372238993,27,27,0,0.10002613067626953
28,1744372239276,28,28,0,0.10132622718811035
29,1744372239540,29,29,0,0.11012578010559082
30,1744372239811,30,30,0,0.10283684730529785
31,1744372240074,31,31,0,0.09855055809020996
32,1744372240327,32,32,0,0.09696626663208008
33,1744372240598,33,33,0,0.11130881309509277
34,1744372240883,34,34,0,0.10272717475891113
35,1744372241143,35,35,0,0.10107231140136719
36,1744372241397,36,36,0,0.10329627990722656
37,1744372241671,37,37,0,0.11107730865478516
38,1744372241938,38,38,0,0.10417008399963379
39,1744372242208,39,39,0,0.09723591804504395
40,1744372242461,40,40,0,0.13299345970153809
41,1744372242754,41,41,0,0.10216188430786133
42,1744372243023,42,42,0,0.10251903533935547
43,1744372243295,43,43,0,0.06661534309387207
44,1744372243538,44,44,0,0.1035926342010498
45,1744372243796,45,45,0,0.12807822227478027
46,1744372244095,46,46,0,0.11066889762878418
47,1744372244359,47,47,0,0.10123753547668457
48,1744372244634,48,48,0,0.07584977149963379
49,1744372244865,49,49,0,0.13372802734375
50,1744372245158,50,50,0,0.07306647300720215
51,1744372245412,51,51,0,0.09998130798339844
52,1744372245667,52,52,0,0.1285238265991211
53,1744372245966,53,53,0,0.11510801315307617
54,1744372246240,54,54,0,0.07263040542602539
55,1744372246486,55,55,0,0.10908961296081543
56,1744372246752,56,56,0,0.0970144271850586
57,1744372247018,57,57,0,0.1022336483001709
58,1744372247286,58,58,0,0.0950767993927002
59,1744372247545,59,59,0,0.10030436515808105
60,1744372247807,60,60,0,0.09538769721984863
61,1744372248075,61,61,0,0.1053612232208252
62,1744372248358,62,62,0,0.09605216979980469
63,1744372248605,63,63,0,0.10486292839050293
64,1744372248882,64,64,0,0.10742831230163574
65,1744372249156,65,65,0,0.10453414916992188
66,1744372249420,66,66,0,0.09525561332702637
67,1744372249679,67,67,0,0.10132694244384766
68,1744372249942,68,68,0,0.10057234764099121
69,1744372250214,69,69,0,0.10273194313049316
70,1744372250484,70,70,0,0.10133671760559082
71,1744372250747,71,71,0,0.10196900367736816
72,1744372251018,72,72,0,0.10302567481994629
73,1744372251279,73,73,0,0.11072015762329102
