Sample,X(ms) [11.04.2025 11:57:04 507 UTC],"CycleTimeMeasurement.CycleTimeInfo"
22,1744372611239.017390,46919600
23,1744372611286.576733,47220863
24,1744372611333.736790,47167986
25,1744372611381.482577,47155996
26,1744372611429.706270,47747013
27,1744372611476.989897,48223613
28,1744372611524.788279,47287574
29,1744372611572.913324,47796591
30,1744372611620.471666,48139835
31,1744372611668.041839,47552952
32,1744372611715.798066,47558822
33,1744372611763.085853,47814031
34,1744372611810.601381,47343920
35,1744372611857.468381,47402667
36,1744372611904.244941,46872426
37,1744372611952.102653,47012316
38,1744372612000.267186,47644929
39,1744372612047.521861,48193382
40,1744372612094.549021,47196707
41,1744372612142.098924,47028857
42,1744372612189.308795,47579351
43,1744372612237.286533,47193587
44,1744372612284.658324,47956911
45,1744372612331.677968,47435022
46,1744372612379.559457,47018152
47,1744372612427.073573,48066582
48,1744372612474.792333,47385884
49,1744372612521.730639,47606934
50,1744372612568.987910,46935746
51,1744372612616.579404,47308174
52,1744372612663.796328,47544560
53,1744372612710.824546,47214328
54,1744372612758.699515,47030245
55,1744372612806.073626,47873395
56,1744372612854.326679,47404832
57,1744372612901.937746,48243626
58,1744372612949.849315,47610996
59,1744372612998.570150,47890271
60,1744372613046.370373,48722435
61,1744372613093.832644,47821365
62,1744372613141.801706,47493315
63,1744372613189.252733,47916387
64,1744372613237.050341,47444409
65,1744372613284.381946,47807716
66,1744372613331.861377,47334537
67,1744372613379.352968,47472769
68,1744372613426.756315,47495636
69,1744372613474.760470,47633466
70,1744372613521.968595,47769858
71,1744372613569.428155,47208342
72,1744372613617.418839,47457125
73,1744372613664.883599,47990075
74,1744372613712.165510,47469512
75,1744372613760.074417,47279542
76,1744372613808.132750,47939138
77,1744372613855.538621,48028586
78,1744372613902.377066,47405151
79,1744372613949.917386,46857378
80,1744372613998.006746,47540845
81,1744372614045.773968,48070675
82,1744372614092.877533,47766098
83,1744372614140.189453,47106280
84,1744372614187.966453,47309022
85,1744372614235.739946,47779169
86,1744372614283.367604,47770338
87,1744372614330.845546,47625626
88,1744372614378.689061,47482552
89,1744372614426.460973,47846266
90,1744372614473.765764,47776947
91,1744372614520.570648,47294507
92,1744372614567.966390,46807248
93,1744372614616.272644,47396152
94,1744372614663.542226,48306426
95,1744372614710.608986,47268214
96,1744372614758.088310,47068755
97,1744372614805.809373,47509027
98,1744372614852.979181,47689778
99,1744372614900.320106,47171862
100,1744372614946.648239,47340369
101,1744372614994.040373,46327702
102,1744372615041.440506,47391524
103,1744372615089.393137,47413498
104,1744372615136.323946,47935938
105,1744372615184.261533,46934880
106,1744372615232.164639,47937707
107,1744372615280.086857,47902062
108,1744372615326.601266,47946431
109,1744372615373.964373,46489889
110,1744372615421.088759,47413293
111,1744372615468.692728,47191040
112,1744372615515.639573,47488000
113,1744372615562.752093,46944480
114,1744372615610.222813,47113911
115,1744372615657.970790,47471142
116,1744372615704.904564,47749298
117,1744372615752.798759,47304458
118,1744372615800.736426,47522649
119,1744372615848.407706,47938987
120,1744372615895.816595,47737368
121,1744372615942.591448,47339694
