meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
120,1744372954298,120,120,0,0.03983950614929199
121,1744372954521,121,121,0,0.08602476119995117
122,1744372954775,122,122,0,0.06685972213745117
123,1744372955034,123,123,0,0.043024301528930664
124,1744372955253,124,124,0,0.08822035789489746
125,1744372955491,125,125,0,0.10500454902648926
126,1744372955740,126,126,0,0.05981016159057617
127,1744372955966,127,127,0,0.11133623123168945
128,1744372956251,128,128,0,0.04162859916687012
129,1744372956469,129,129,0,0.06402254104614258
130,1744372956719,130,130,0,0.07482671737670898
131,1744372956943,131,131,0,0.0823211669921875
132,1744372957200,132,132,0,0.07358813285827637
133,1744372957453,133,133,0,0.05361437797546387
134,1744372957672,134,134,0,0.08214330673217773
135,1744372957892,135,135,0,0.0880289077758789
136,1744372958122,136,136,0,0.09754109382629395
137,1744372958367,137,137,0,0.09452390670776367
138,1744372958598,138,138,0,0.07065248489379883
139,1744372958808,139,139,0,0.08422684669494629
140,1744372959078,140,140,0,0.10816621780395508
141,1744372959335,141,141,0,0.08745193481445312
142,1744372959563,142,142,0,0.08741998672485352
143,1744372959796,143,143,0,0.06859350204467773
144,1744372960008,144,144,0,0.07711935043334961
145,1744372960293,145,145,0,0.09239363670349121
146,1744372960563,146,146,0,0.07703208923339844
147,1744372960808,147,147,0,0.04516768455505371
148,1744372961033,148,148,0,0.11790704727172852
149,1744372961300,149,149,0,0.046173095703125
150,1744372961519,150,150,0,0.0976095199584961
