Sample,X(ms) [11.04.2025 14:26:22 918 UTC],"CycleTimeMeasurement.CycleTimeInfo"
126,1744381580827.559600,5658192
127,1744381580833.239968,5515144
128,1744381580838.675136,5684272
129,1744381580844.253664,5424936
130,1744381580849.739640,5597912
131,1744381580855.376288,5467272
132,1744381580860.728872,5637168
133,1744381580866.025344,5351064
134,1744381580871.639776,5299464
135,1744381580877.034328,5612768
136,1744381580882.666184,5394104
137,1744381580887.961480,5631832
138,1744381580893.405344,5300784
139,1744381580899.019112,5438752
140,1744381580904.337640,5613280
141,1744381580909.995096,5324992
142,1744381580915.480552,5655248
143,1744381580921.145248,5480744
144,1744381580926.465888,5667032
145,1744381580932.127888,5326272
146,1744381580937.565088,5656952
147,1744381580943.217528,5434560
148,1744381580948.642528,5664920
149,1744381580953.964704,5411880
150,1744381580959.578760,5324792
151,1744381580964.943080,5614824
152,1744381580970.255224,5361768
153,1744381580975.883440,5538456
154,1744381580981.274408,5405400
155,1744381580986.834056,5387968
156,1744381580992.126464,5558928
157,1744381580997.522448,5293712
158,1744381581003.159536,5617848
159,1744381581008.527176,5415296
160,1744381581014.235960,5465680
161,1744381581019.693992,5623520
162,1744381581025.342928,5445040
163,1744381581030.780072,5648800
164,1744381581036.327480,5436216
165,1744381581041.737488,5550016
166,1744381581047.096712,5409352
167,1744381581052.672088,5573008
168,1744381581057.952096,5359424
169,1744381581063.575840,5282728
170,1744381581068.973544,5623416
171,1744381581074.257952,5397384
172,1744381581079.857576,5295944
173,1744381581085.219280,5588280
174,1744381581090.872880,5371400
175,1744381581096.219360,5642408
176,1744381581101.634584,5353952
177,1744381581107.321416,5414512
178,1744381581112.769144,5681216
179,1744381581118.344568,5664472
180,1744381581123.807872,5361688
181,1744381581129.458576,5461768
182,1744381581134.864856,5648712
183,1744381581140.365384,5405608
184,1744381581145.772704,5502984
185,1744381581151.153240,5405912
186,1744381581156.755048,5379816
187,1744381581162.106576,5601336
188,1744381581167.692496,5352488
189,1744381581173.039848,5588048
190,1744381581178.353368,5344776
191,1744381581183.968760,5314600
192,1744381581189.401528,5615040
193,1744381581195.072168,5433632
194,1744381581200.425072,5669744
195,1744381581206.103224,5355504
196,1744381581211.534312,5678152
197,1744381581217.163488,5428648
198,1744381581222.540448,5629408
199,1744381581227.948696,5461376
200,1744381581233.565136,5324712
201,1744381581238.944264,5614832
202,1744381581244.463432,5379160
203,1744381581249.885296,5521712
204,1744381581255.566304,5419456
205,1744381581260.952992,5683384
206,1744381581266.250680,5382288
207,1744381581271.868744,5307552
208,1744381581277.274064,5610824
209,1744381581282.961112,5407120
210,1744381581288.315176,5684568
211,1744381581293.745480,5355624
212,1744381581299.387648,5647736
213,1744381581304.808632,5422880
214,1744381581310.365376,5420408
215,1744381581315.794720,5557872
216,1744381581321.438936,5428504
217,1744381581326.785080,5645568
218,1744381581332.072344,5344312
219,1744381581337.657768,5287864
220,1744381581343.058120,5586536
221,1744381581348.680736,5399104
222,1744381581353.966120,5621016
223,1744381581359.371264,5289120
224,1744381581364.971968,5402848
225,1744381581370.338408,5603704
226,1744381581375.999616,5371480
227,1744381581381.447416,5654720
228,1744381581387.097520,5446192
229,1744381581392.435064,5651440
230,1744381581397.870320,5342560
231,1744381581403.511512,5646416
232,1744381581408.958016,5427024
233,1744381581414.487912,5442312
234,1744381581419.858232,5539352
235,1744381581425.457648,5363040
236,1744381581430.816656,5599832
237,1744381581436.151824,5356960
238,1744381581441.800744,5337528
239,1744381581447.163472,5647480
240,1744381581452.817832,5362016
241,1744381581458.112976,5654416
242,1744381581463.568384,5296712
243,1744381581469.217264,5454136
244,1744381581474.748960,5670576
245,1744381581480.336432,5731368
246,1744381581485.790160,5373240
247,1744381581491.442912,5450080
248,1744381581496.897744,5653896
