Sample,X(ms) [11.04.2025 14:32:32 476 UTC],"CycleTimeMeasurement.CycleTimeInfo"
12,1744381944769.166720,9197360
13,1744381944778.460480,9350696
14,1744381944788.460312,9923464
15,1744381944798.386760,9368696
16,1744381944807.743920,9933296
17,1744381944817.064392,9351088
18,1744381944826.240672,9313616
19,1744381944836.141424,9813672
20,1744381944845.536952,9267216
21,1744381944855.530080,9927120
22,1744381944865.484904,9465144
23,1744381944874.841136,9957464
24,1744381944883.987080,9345032
25,1744381944893.326760,9152368
26,1744381944903.201360,9863688
27,1744381944912.492248,9344384
28,1744381944922.450952,9298016
29,1744381944931.825832,9962384
30,1744381944941.696272,9373584
31,1744381944950.947080,9863920
32,1744381944960.204032,9252688
33,1744381944970.118864,9258568
34,1744381944979.559232,9912928
35,1744381944989.487544,9438704
36,1744381944998.872312,9935864
37,1744381945008.737104,9375288
38,1744381945017.887920,9864512
39,1744381945027.230456,9159952
40,1744381945036.483040,9346712
41,1744381945046.555664,9248912
42,1744381945056.475024,10700280
43,1744381945065.840032,9288008
44,1744381945075.144952,9366672
45,1744381945085.016744,9826912
46,1744381945094.272096,9341328
47,1744381945104.187424,9265024
48,1744381945113.690600,9910840
49,1744381945123.593912,9504248
50,1744381945132.955664,9902760
51,1744381945142.122480,9356208
52,1744381945152.026744,9171928
53,1744381945161.404352,9903648
54,1744381945171.384568,9374168
55,1744381945180.775552,9983312
56,1744381945189.985856,9387312
57,1744381945199.804576,9849144
58,1744381945209.095136,9183088
59,1744381945218.416368,9290680
60,1744381945228.365896,9954560
61,1744381945238.327800,9316560
62,1744381945247.672464,9962128
63,1744381945257.026616,9342072
64,1744381945266.203512,9885864
65,1744381945276.047464,9265776
66,1744381945285.402072,9229600
67,1744381945295.356392,9346768
68,1744381945304.813424,9965592
69,1744381945314.668672,9970368
70,1744381945323.911400,9330808
71,1744381945333.152736,9245936
72,1744381945342.397304,9237544
73,1744381945350.626888,9865984
74,1744381945360.496088,7607488
75,1744381945370.417216,9980552
76,1744381945379.799480,9823240
77,1744381945389.114144,9372368
78,1744381945398.937784,9839856
79,1744381945408.193112,9294832
80,1744381945417.561360,9262976
81,1744381945427.562656,9892712
82,1744381945437.522816,9473776
83,1744381945446.875368,9966968
84,1744381945456.042008,9343568
85,1744381945465.879472,9169752
86,1744381945475.245736,9837952
87,1744381945484.557832,9378872
88,1744381945494.496408,9931168
89,1744381945503.825216,9409656
90,1744381945513.751880,9230232
91,1744381945523.064144,9921624
92,1744381945532.346584,9307520
93,1744381945542.252624,9286744
94,1744381945551.678336,9917928
95,1744381945561.569064,9414024
96,1744381945570.912824,9896232
97,1744381945580.066272,9336224
98,1744381945589.954192,9163208
99,1744381945599.376912,9884480
100,1744381945609.308136,9414624
101,1744381945618.716672,9934808
102,1744381945628.447632,9404496
103,1744381945637.791408,9743528
104,1744381945647.067368,9340776
105,1744381945656.361344,9268248
106,1744381945666.226048,9916368
107,1744381945675.644016,9256080
108,1744381945685.580320,9931320
109,1744381945694.923456,9410704
110,1744381945704.737296,9859528
111,1744381945713.932464,9295968
112,1744381945723.335976,9205520
113,1744381945733.239576,9392320
114,1744381945742.667120,9914080
115,1744381945752.446232,9416224
116,1744381945761.777616,9789256
117,1744381945771.024008,9328312
118,1744381945780.178568,9239880
119,1744381945790.091200,9163368
120,1744381945799.543376,9906808
121,1744381945809.501296,9449592
122,1744381945818.843544,9968792
123,1744381945828.705544,9331192
124,1744381945837.854160,9862232
125,1744381945847.226928,9150736
126,1744381945856.461104,9384008
127,1744381945866.471448,9842064
128,1744381945876.479952,9397208
129,1744381945885.820160,10009632
130,1744381945895.122360,9332552
131,1744381945904.920832,9832224
132,1744381945914.161784,9268208
133,1744381945923.533696,9247520
134,1744381945933.506352,9887280
135,1744381945943.433648,9457200
136,1744381945952.785120,9921776
137,1744381945961.938360,9349736
138,1744381945971.231840,9159864
139,1744381945981.137376,9301112
140,1744381945990.431056,9889616
141,1744381946000.380704,9301856
142,1744381946009.727712,9947304
143,1744381946019.584000,9349664
144,1744381946028.832200,9856528
145,1744381946038.049448,9238616
146,1744381946047.414744,9230272
147,1744381946057.352216,9354696
148,1744381946066.752800,9938104
149,1744381946076.537608,9929008
150,1744381946085.857304,9366552
151,1744381946095.129312,9216872
152,1744381946104.336488,9262448
153,1744381946114.221264,9830352
154,1744381946123.642904,9277320
155,1744381946133.568768,9936048
156,1744381946142.938640,9403888
157,1744381946152.781832,9890640
158,1744381946161.986112,9312632
