Sample,X(ms) [11.04.2025 13:45:49 699 UTC],"CycleTimeMeasurement.CycleTimeInfo"
85,1744379130260.965088,3880000
86,1744379130265.017656,3889000
87,1744379130269.072504,3878000
88,1744379130273.185016,3878000
89,1744379130277.317880,3901000
90,1744379130281.383080,3906000
91,1744379130286.391328,3878000
92,1744379130291.619488,3964000
93,1744379130295.794960,4058000
94,1744379130299.865496,3949000
95,1744379130303.924096,3890000
96,1744379130307.975888,3881000
97,1744379130312.022952,3876000
98,1744379130317.361768,3869000
99,1744379130322.018352,4001000
100,1744379130326.159528,4015000
101,1744379130330.336120,3936000
102,1744379130334.408096,3926000
103,1744379130338.466696,3890000
104,1744379130342.505968,3881000
105,1744379130347.601960,3863000
106,1744379130352.857256,3963000
107,1744379130357.016592,4047000
108,1744379130361.144240,3950000
109,1744379130365.219720,3907000
110,1744379130369.288672,3884000
111,1744379130373.365736,3891000
112,1744379130377.426192,3888000
113,1744379130381.467264,3878000
114,1744379130385.514848,3870000
115,1744379130389.641360,3869000
116,1744379130393.714608,3892000
117,1744379130397.766224,3886000
118,1744379130401.816304,3873000
119,1744379130406.319544,3877000
120,1744379130411.945344,3919000
121,1744379130416.244552,4038000
122,1744379130420.435040,4016000
123,1744379130424.520056,3948000
124,1744379130428.711480,3898000
125,1744379130432.775104,3896000
126,1744379130436.822616,3879000
127,1744379130440.874056,3867000
128,1744379130444.919656,3878000
129,1744379130448.968816,3867000
130,1744379130453.507144,3876000
131,1744379130458.103128,3934000
132,1744379130462.294336,4014000
133,1744379130466.369560,3968000
134,1744379130471.712600,3884000
135,1744379130476.715448,4012000
136,1744379130480.867096,4056000
137,1744379130484.934912,3943000
138,1744379130489.066552,3888000
139,1744379130493.139992,3899000
140,1744379130497.203592,3885000
141,1744379130501.282880,3881000
142,1744379130505.328880,3887000
143,1744379130509.377424,3869000
144,1744379130513.427720,3870000
145,1744379130517.524128,3872000
146,1744379130521.635936,3894000
147,1744379130525.699720,3891000
148,1744379130530.050560,3885000
149,1744379130535.571568,3936000
150,1744379130540.234328,4061000
151,1744379130544.383600,3995000
152,1744379130548.441432,3935000
153,1744379130552.537656,3882000
154,1744379130556.657760,3900000
155,1744379130560.756352,3869000
156,1744379130564.820248,3882000
157,1744379130568.885728,3881000
158,1744379130572.966048,3880000
159,1744379130577.013312,3896000
160,1744379130581.158232,3870000
161,1744379130585.223984,3928000
162,1744379130589.348000,3886000
163,1744379130594.373480,3883000
164,1744379130599.590520,3971000
165,1744379130603.768560,4087000
166,1744379130607.907808,3959000
167,1744379130611.977576,3939000
168,1744379130616.070648,3888000
169,1744379130620.186504,3883000
170,1744379130624.264632,3910000
171,1744379130628.404064,3896000
172,1744379130632.554096,3904000
173,1744379130636.681336,3935000
174,1744379130640.736248,3883000
175,1744379130644.785984,3872000
176,1744379130648.835912,3870000
177,1744379130652.933648,3871000
178,1744379130658.500928,3893000
179,1744379130663.908976,4062000
180,1744379130669.028192,4023000
181,1744379130673.209728,4057000
182,1744379130677.322472,3961000
183,1744379130681.386040,3915000
184,1744379130685.431928,3881000
185,1744379130689.554784,3869000
186,1744379130693.622832,3892000
187,1744379130697.673328,3883000
188,1744379130701.720248,3875000
189,1744379130705.765088,3873000
190,1744379130709.817352,3869000
191,1744379130713.905880,3881000
192,1744379130717.974384,3887000
193,1744379130722.073096,3887000
194,1744379130726.136776,3896000
195,1744379130730.265336,3885000
196,1744379130735.346992,3914000
197,1744379130740.468256,3955000
198,1744379130744.729480,4059000
199,1744379130748.827152,3952000
200,1744379130752.935696,3910000
201,1744379130756.994936,3894000
202,1744379130761.107160,3874000
203,1744379130765.168512,3895000
204,1744379130769.219984,3880000
205,1744379130773.354576,3875000
206,1744379130777.413240,3917000
207,1744379130781.478896,3876000
208,1744379130785.556400,3892000
209,1744379130789.674856,3889000
210,1744379130793.749424,3891000
211,1744379130798.869448,3886000
212,1744379130803.962032,3995000
213,1744379130808.150656,4048000
214,1744379130812.240656,3965000
215,1744379130816.346960,3901000
216,1744379130820.454592,3895000
217,1744379130824.517416,3901000
218,1744379130828.779312,3886000
219,1744379130832.853768,3925000
220,1744379130836.905344,3889000
221,1744379130840.962528,3876000
222,1744379130845.007520,3877000
223,1744379130849.057784,3869000
224,1744379130853.151560,3872000
225,1744379130857.698880,3887000
226,1744379130863.108264,3927000
227,1744379130867.666288,4045000
228,1744379130871.798984,4048000
229,1744379130875.861720,3931000
230,1744379130879.920696,3881000
231,1744379130883.971792,3879000
232,1744379130888.017928,3872000
233,1744379130892.147544,3870000
234,1744379130896.224192,3894000
235,1744379130900.293720,3896000
236,1744379130904.345672,3883000
237,1744379130908.394560,3874000
238,1744379130912.451688,3872000
239,1744379130916.539144,3869000
240,1744379130922.114848,3896000
241,1744379130926.922680,4032000
242,1744379130931.123456,4067000
243,1744379130935.200464,3959000
244,1744379130939.263336,3893000
245,1744379130943.318704,3886000
246,1744379130947.369280,3868000
247,1744379130951.462136,3877000
248,1744379130955.526952,3886000
249,1744379130959.638672,3887000
250,1744379130963.703344,3895000
251,1744379130967.763984,3887000
252,1744379130971.834896,3884000
253,1744379130975.888712,3892000
254,1744379130980.706576,3874000
255,1744379130986.053208,3926000
256,1744379130990.401976,4053000
257,1744379130994.502968,4000000
258,1744379130998.626384,3907000
259,1744379131002.677512,3872000
260,1744379131006.721968,3871000
261,1744379131010.768784,3866000
262,1744379131014.856264,3867000
263,1744379131018.917576,3887000
264,1744379131023.041208,3881000
265,1744379131027.104080,3896000
266,1744379131031.240312,3883000
267,1744379131035.297408,3908000
268,1744379131039.344688,3866000
269,1744379131044.345800,3870000
270,1744379131049.562616,3958000
271,1744379131053.767480,4038000
272,1744379131057.849552,3960000
273,1744379131061.975000,3892000
274,1744379131066.034800,3899000
275,1744379131070.099744,3881000
276,1744379131075.192632,3886000
277,1744379131080.073440,3991000
278,1744379131084.217160,4032000
279,1744379131088.298680,3935000
280,1744379131092.442256,3891000
281,1744379131096.511368,3911000
282,1744379131100.633960,3885000
283,1744379131105.640400,3877000
284,1744379131110.854480,3968000
285,1744379131115.064776,4063000
286,1744379131119.152752,3971000
287,1744379131123.258616,3896000
288,1744379131127.391920,3905000
289,1744379131131.462136,3906000
290,1744379131135.509824,3881000
291,1744379131139.561656,3872000
292,1744379131143.609712,3876000
293,1744379131147.657296,3874000
294,1744379131151.751968,3877000
295,1744379131155.813992,3888000
296,1744379131159.925552,3884000
297,1744379131163.987352,3897000
298,1744379131169.602728,3883000
299,1744379131174.359864,4051000
300,1744379131178.535848,4045000
301,1744379131182.679112,3970000
302,1744379131186.727880,3890000
303,1744379131190.841744,3870000
