meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
1,1744381582342,1,1,0,0.0515131950378418
2,1744381582554,2,2,0,0.045340776443481445
3,1744381582746,3,3,0,0.04973149299621582
4,1744381582938,4,4,0,0.0495295524597168
5,1744381583135,5,5,0,0.05455970764160156
6,1744381583336,6,6,0,0.04357767105102539
7,1744381583524,7,7,0,0.05244874954223633
8,1744381583720,8,8,0,0.04268383979797363
9,1744381583911,9,9,0,0.04060864448547363
10,1744381584099,10,10,0,0.0424036979675293
11,1744381584289,11,11,0,0.04325294494628906
12,1744381584477,12,12,0,0.04647421836853027
13,1744381584667,13,13,0,0.04061579704284668
14,1744381584855,14,14,0,0.05876493453979492
15,1744381585054,15,15,0,0.04130911827087402
16,1744381585240,16,16,0,0.039487600326538086
17,1744381585426,17,17,0,0.04842853546142578
18,1744381585633,18,18,0,0.04933428764343262
19,1744381585826,19,19,0,0.049556732177734375
20,1744381586014,20,20,0,0.04930472373962402
21,1744381586211,21,21,0,0.050395965576171875
22,1744381586399,22,22,0,0.04860973358154297
23,1744381586590,23,23,0,0.041409969329833984
24,1744381586786,24,24,0,0.03814816474914551
25,1744381586982,25,25,0,0.041405439376831055
26,1744381587169,26,26,0,0.044534921646118164
27,1744381587361,27,27,0,0.04137682914733887
28,1744381587548,28,28,0,0.04046630859375
29,1744381587735,29,29,0,0.041378021240234375
30,1744381587917,30,30,0,0.04160332679748535
31,1744381588105,31,31,0,0.04448056221008301
32,1744381588295,32,32,0,0.04446578025817871
33,1744381588481,33,33,0,0.040517330169677734
34,1744381588665,34,34,0,0.04637956619262695
35,1744381588852,35,35,0,0.05077695846557617
36,1744381589043,36,36,0,0.04938960075378418
37,1744381589230,37,37,0,0.05031585693359375
38,1744381589418,38,38,0,0.04551434516906738
39,1744381589605,39,39,0,0.04124855995178223
40,1744381589792,40,40,0,0.04246401786804199
41,1744381589980,41,41,0,0.0406193733215332
42,1744381590170,42,42,0,0.039472341537475586
43,1744381590361,43,43,0,0.0401918888092041
44,1744381590550,44,44,0,0.040421485900878906
45,1744381590747,45,45,0,0.04747200012207031
46,1744381590940,46,46,0,0.0403141975402832
47,1744381591133,47,47,0,0.03939247131347656
48,1744381591325,48,48,0,0.04338264465332031
49,1744381591514,49,49,0,0.046620845794677734
50,1744381591706,50,50,0,0.049565792083740234
51,1744381591903,51,51,0,0.05054068565368652
52,1744381592091,52,52,0,0.04958748817443848
53,1744381592277,53,53,0,0.04537391662597656
54,1744381592464,54,54,0,0.04560256004333496
55,1744381592651,55,55,0,0.050347328186035156
56,1744381592841,56,56,0,0.0404667854309082
57,1744381593029,57,57,0,0.04131054878234863
58,1744381593216,58,58,0,0.03968644142150879
59,1744381593402,59,59,0,0.050551652908325195
60,1744381593607,60,60,0,0.04654407501220703
61,1744381593793,61,61,0,0.05048084259033203
62,1744381593984,62,62,0,0.05052304267883301
63,1744381594188,63,63,0,0.050504207611083984
64,1744381594379,64,64,0,0.04657459259033203
65,1744381594570,65,65,0,0.046708106994628906
66,1744381594773,66,66,0,0.04965353012084961
67,1744381594960,67,67,0,0.04945826530456543
68,1744381595149,68,68,0,0.046418190002441406
69,1744381595352,69,69,0,0.05051112174987793
70,1744381595543,70,70,0,0.04651832580566406
71,1744381595731,71,71,0,0.049818992614746094
72,1744381595934,72,72,0,0.04731273651123047
73,1744381596122,73,73,0,0.04863381385803223
74,1744381596311,74,74,0,0.04040384292602539
75,1744381596505,75,75,0,0.04042243957519531
76,1744381596692,76,76,0,0.04150247573852539
77,1744381596878,77,77,0,0.05082440376281738
78,1744381597083,78,78,0,0.0503697395324707
79,1744381597280,79,79,0,0.05036282539367676
80,1744381597467,80,80,0,0.05745196342468262
81,1744381597661,81,81,0,0.044577836990356445
82,1744381597850,82,82,0,0.0393068790435791
83,1744381598041,83,83,0,0.0393831729888916
84,1744381598228,84,84,0,0.03942608833312988
85,1744381598420,85,85,0,0.0396113395690918
86,1744381598608,86,86,0,0.0394132137298584
87,1744381598795,87,87,0,0.03964686393737793
88,1744381598987,88,88,0,0.04021453857421875
89,1744381599174,89,89,0,0.04037952423095703
90,1744381599361,90,90,0,0.05454111099243164
91,1744381599562,91,91,0,0.04042482376098633
92,1744381599751,92,92,0,0.04536628723144531
93,1744381599944,93,93,0,0.0445253849029541
94,1744381600131,94,94,0,0.04047083854675293
95,1744381600321,95,95,0,0.04149961471557617
96,1744381600514,96,96,0,0.04336738586425781
97,1744381600704,97,97,0,0.05361008644104004
98,1744381600901,98,98,0,0.04548144340515137
99,1744381601089,99,99,0,0.04955697059631348
100,1744381601281,100,100,0,0.04863309860229492
101,1744381601468,101,101,0,0.05090785026550293
102,1744381601671,102,102,0,0.04853320121765137
103,1744381601862,103,103,0,0.049468278884887695
104,1744381602050,104,104,0,0.04951143264770508
105,1744381602237,105,105,0,0.04254484176635742
106,1744381602421,106,106,0,0.045473575592041016
107,1744381602611,107,107,0,0.039440155029296875
108,1744381602790,108,108,0,0.039299726486206055
109,1744381602973,109,109,0,0.03946709632873535
110,1744381603164,110,110,0,0.03937864303588867
111,1744381603352,111,111,0,0.04339027404785156
112,1744381603548,112,112,0,0.04327225685119629
113,1744381603735,113,113,0,0.047661781311035156
