meting_nummer,tijd_unix_ms,testwaarde,echo_waarde,verschil,round_trip_seconden
120,1744379163987,120,120,0,0.00870823860168457
121,1744379164107,121,121,0,0.010033845901489258
122,1744379164228,122,122,0,0.010113239288330078
123,1744379164349,123,123,0,0.009957313537597656
124,1744379164470,124,124,0,0.01929926872253418
125,1744379164600,125,125,0,0.010207176208496094
126,1744379164721,126,126,0,0.01016378402709961
127,1744379164843,127,127,0,0.033400535583496094
128,1744379164992,128,128,0,0.021245718002319336
129,1744379165148,129,129,0,0.014174699783325195
130,1744379165273,130,130,0,0.00929570198059082
131,1744379165392,131,131,0,0.009221076965332031
132,1744379165513,132,132,0,0.012897253036499023
133,1744379165643,133,133,0,0.016344070434570312
134,1744379165769,134,134,0,0.010246992111206055
135,1744379165890,135,135,0,0.01006460189819336
136,1744379166018,136,136,0,0.010081291198730469
137,1744379166139,137,137,0,0.010011911392211914
138,1744379166269,138,138,0,0.019246816635131836
139,1744379166399,139,139,0,0.010281085968017578
140,1744379166520,140,140,0,0.010172367095947266
141,1744379166641,141,141,0,0.010007381439208984
142,1744379166763,142,142,0,0.010020017623901367
143,1744379166884,143,143,0,0.009185552597045898
144,1744379167009,144,144,0,0.009140729904174805
145,1744379167129,145,145,0,0.010226011276245117
146,1744379167251,146,146,0,0.01007080078125
147,1744379167378,147,147,0,0.02016282081604004
148,1744379167509,148,148,0,0.019274473190307617
149,1744379167644,149,149,0,0.0091705322265625
150,1744379167764,150,150,0,0.010225534439086914
