meting_nummer,tijd_unix_ms,testwaarde,round_trip_seconden
1,1743769474892,7977,0.022856712341308594
2,1743769475016,8101,0.020249605178833008
3,1743769475137,8222,0.021818161010742188
4,1743769475259,8344,0.02196812629699707
5,1743769475381,8466,0.02159881591796875
6,1743769475503,8588,0.021514892578125
7,1743769475625,8710,0.020928621292114258
8,1743769475747,8832,0.021292448043823242
9,1743769475869,8954,0.022235631942749023
10,1743769475991,9076,0.021500349044799805
11,1743769476113,9198,0.02170729637145996
12,1743769476236,9321,0.02042388916015625
13,1743769476357,9442,0.030033349990844727
14,1743769476487,9572,0.021847009658813477
15,1743769476609,9694,0.02119159698486328
16,1743769476731,9816,0.005593061447143555
17,1743769476838,9923,0.021840333938598633
18,1743769476960,10045,0.02019357681274414
19,1743769477081,10166,0.020177841186523438
20,1743769477201,10286,0.028750181198120117
21,1743769477331,10416,0.02144002914428711
22,1743769477453,10538,0.021380901336669922
23,1743769477575,10660,0.02137279510498047
24,1743769477697,10782,0.021030664443969727
25,1743769477818,10903,0.021004199981689453
26,1743769477940,11025,0.020743608474731445
27,1743769478062,11147,0.020893573760986328
28,1743769478183,11268,0.024063587188720703
29,1743769478308,11393,0.023940563201904297
30,1743769478433,11518,0.02097797393798828
31,1743769478555,11640,0.02084493637084961
32,1743769478677,11762,0.020920515060424805
33,1743769478798,11883,0.021143198013305664
34,1743769478920,12005,0.021532297134399414
35,1743769479042,12127,0.020058631896972656
36,1743769479163,12248,0.02076244354248047
37,1743769479284,12369,0.0207061767578125
38,1743769479406,12491,0.02097487449645996
39,1743769479527,12612,0.020920515060424805
40,1743769479649,12734,0.01874566078186035
41,1743769479768,12853,0.021244525909423828
42,1743769479890,12975,0.02124762535095215
43,1743769480012,13097,0.020921707153320312
44,1743769480133,13218,0.021332979202270508
45,1743769480255,13340,0.021343708038330078
46,1743769480377,13462,0.022086620330810547
47,1743769480500,13585,0.021180391311645508
48,1743769480621,13706,0.02044391632080078
49,1743769480742,13827,0.02193140983581543
50,1743769480865,13950,0.0217745304107666
51,1743769480987,14072,0.021073102951049805
52,1743769481109,14194,0.02119302749633789
53,1743769481230,14315,0.021897077560424805
54,1743769481353,14438,0.02237868309020996
55,1743769481475,14560,0.021490097045898438
56,1743769481597,14682,0.02126789093017578
57,1743769481719,14804,0.02190542221069336
58,1743769481841,14926,0.021169185638427734
59,1743769481963,15048,0.021265268325805664
60,1743769482085,15170,0.021850109100341797
61,1743769482207,15292,0.02027440071105957
62,1743769482328,15413,0.021474123001098633
63,1743769482450,15535,0.021126985549926758
64,1743769482572,15657,0.021275758743286133
65,1743769482694,15779,0.021697282791137695
66,1743769482816,15901,0.021517038345336914
67,1743769482938,16023,0.02069711685180664
68,1743769483059,16144,0.021505117416381836
69,1743769483181,16266,0.022034168243408203
70,1743769483304,16389,0.021181821823120117
71,1743769483425,16510,0.021275758743286133
72,1743769483547,16632,0.022423267364501953
73,1743769483670,16755,0.02140665054321289
74,1743769483792,16877,0.02115464210510254
75,1743769483914,16999,0.02121901512145996
76,1743769484036,17121,0.021100521087646484
77,1743769484157,17242,0.022100210189819336
78,1743769484280,17365,0.0211639404296875
79,1743769484402,17487,0.020868539810180664
80,1743769484524,17609,0.029736042022705078
81,1743769484654,17739,0.021079301834106445
82,1743769484775,17860,0.02124500274658203
83,1743769484897,17982,0.021207571029663086
84,1743769485019,18104,0.020923614501953125
85,1743769485141,18226,0.021248817443847656
86,1743769485262,18347,0.020923376083374023
87,1743769485384,18469,0.021061182022094727
88,1743769485506,18591,0.020956039428710938
89,1743769485627,18712,0.021233320236206055
90,1743769485749,18834,0.022094249725341797
91,1743769485872,18957,0.02193284034729004
92,1743769485995,19080,0.022538423538208008
93,1743769486118,19203,0.02087688446044922
94,1743769486239,19324,0.021106481552124023
95,1743769486361,19446,0.020981550216674805
96,1743769486483,19568,0.02098846435546875
97,1743769486604,19689,0.027251482009887695
98,1743769486732,19817,0.020450830459594727
99,1743769486853,19938,0.022875547409057617
100,1743769486977,20062,0.02121710777282715
